Message Number;Time [ms];ID;DLC;Data Bytes;CANopen;Node;Index;Subindex;Interpretation
1;140660,000;0x0083;8;[0x00 0x00 0x00 0x01 0x20 0x00 0x00 0x00];EMCY;3;-;-;EMCY eec:0x0, er:0,Error reset or no error
2;140670,000;0x0083;8;[0x00 0x00 0x00 0x01 0x23 0x00 0x00 0x00];EMCY;3;-;-;EMCY eec:0x0, er:0,Error reset or no error
3;140680,000;0x0083;8;[0x20 0x81 0x00 0x06 0x28 0x00 0x00 0x00];EMCY;3;-;-;EMCY eec:0x8120, er:0,CAN in error passive mode
4;140690,000;0x0703;1;[0x7f];ERR_CTRL;3;-;-;Heartbeat: Preoperational
5;140690,000;0x0083;8;[0x00 0x00 0x00 0x12 0x00 0x00 0x00 0x00];EMCY;3;-;-;EMCY eec:0x0, er:0,Error reset or no error
6;140700,000;0x0083;8;[0x00 0x00 0x00 0x06 0x00 0x00 0x00 0x00];EMCY;3;-;-;EMCY eec:0x0, er:0,Error reset or no error
7;140700,000;0x0000;2;[0x82 0x00];NMT;-;-;-;NMT Reset communication all nodes
8;140710,000;0x0083;0;[];EMCY;3;-;-;wrong EMCY with DLC=0
9;140710,000;0x0703;1;[0x00];ERR_CTRL;3;-;-;Heartbeat: Boot-Up (20.0 ms)
10;140710,000;0x0603;8;[0x40 0x00 0x10 0x00 0x00 0x00 0x00 0x00];SDO_R;3;0x1000;0;client: initiate upload request
11;140710,000;0x0583;8;[0x43 0x00 0x10 0x00 0x2d 0x01 0x00 0x00];SDO_T;3;0x1000;0;server: upload response = [0x2d 0x01 0x00 0x00] --> DeviceType: Device Profile Number = 301, Additional Informat = 0
12;140730,000;0x0603;8;[0x40 0x18 0x10 0x00 0x00 0x00 0x00 0x00];SDO_R;3;0x1018;0;client: initiate upload request
13;140730,000;0x0583;8;[0x4f 0x18 0x10 0x00 0x04 0x00 0x00 0x00];SDO_T;3;0x1018;0;server: upload response = [0x04] --> [\x04]
14;140740,000;0x0603;8;[0x40 0x18 0x10 0x01 0x00 0x00 0x00 0x00];SDO_R;3;0x1018;1;client: initiate upload request
15;140740,000;0x0583;8;[0x43 0x18 0x10 0x01 0x0c 0x01 0x00 0x00];SDO_T;3;0x1018;1;server: upload response = [0x0c 0x01 0x00 0x00] --> [\x0c\x01\x00\x00]
16;140750,000;0x0603;8;[0x40 0x18 0x10 0x02 0x00 0x00 0x00 0x00];SDO_R;3;0x1018;2;client: initiate upload request
17;140750,000;0x0583;8;[0x43 0x18 0x10 0x02 0x00 0x00 0x00 0x00];SDO_T;3;0x1018;2;server: upload response = [0x00 0x00 0x00 0x00] --> [\x00\x00\x00\x00]
18;140760,000;0x0603;8;[0x40 0x18 0x10 0x03 0x00 0x00 0x00 0x00];SDO_R;3;0x1018;3;client: initiate upload request
19;140760,000;0x0583;8;[0x43 0x18 0x10 0x03 0x00 0x00 0x00 0x00];SDO_T;3;0x1018;3;server: upload response = [0x00 0x00 0x00 0x00] --> [\x00\x00\x00\x00]
20;140770,000;0x0603;8;[0x40 0x18 0x10 0x04 0x00 0x00 0x00 0x00];SDO_R;3;0x1018;4;client: initiate upload request
21;140770,000;0x0583;8;[0x43 0x18 0x10 0x04 0x00 0x00 0x00 0x00];SDO_T;3;0x1018;4;server: upload response = [0x00 0x00 0x00 0x00] --> [\x00\x00\x00\x00]
22;141200,000;0x0703;1;[0x7f];ERR_CTRL;3;-;-;Heartbeat: Preoperational (490.0 ms)
23;143700,000;0x0703;1;[0x7f];ERR_CTRL;3;-;-;Heartbeat: Preoperational (2500.0 ms)
24;146200,000;0x0703;1;[0x7f];ERR_CTRL;3;-;-;Heartbeat: Preoperational (2500.0 ms)
25;148700,000;0x0703;1;[0x7f];ERR_CTRL;3;-;-;Heartbeat: Preoperational (2500.0 ms)
26;150720,000;0x0702;1;;ERR_CTRL;2;-;-;Node-Guarding Request (RTR)
27;151200,000;0x0703;1;[0x7f];ERR_CTRL;3;-;-;Heartbeat: Preoperational (2500.0 ms)
28;151720,000;0x0702;1;;ERR_CTRL;2;-;-;Node-Guarding Request (RTR)
29;151740,000;0x0603;8;[0x40 0x08 0x10 0x00 0x00 0x00 0x00 0x00];SDO_R;3;0x1008;0;client: initiate upload request
30;151740,000;0x0583;8;[0x41 0x08 0x10 0x00 0x08 0x00 0x00 0x00];SDO_T;3;0x1008;0;server: initiate upload response length=8 bytes
31;151750,000;0x0603;8;[0x60 0x00 0x00 0x00 0x00 0x00 0x00 0x00];SDO_R;3;-;-;client: upload segment request (!T)
32;151750,000;0x0583;8;[0x00 0x41 0x64 0x64 0x4f 0x6e 0x20 0x49];SDO_T;3;-;-;server: upload segment response (!T) = [0x41 0x64 0x64 0x4f 0x6e 0x20 0x49] --> [AddOn I]
33;151750,000;0x0603;8;[0x70 0x00 0x00 0x00 0x00 0x00 0x00 0x00];SDO_R;3;-;-;client: upload segment request (T)
34;151750,000;0x0583;8;[0x1d 0x4f 0x00 0x00 0x00 0x00 0x00 0x00];SDO_T;3;-;-;server: upload segment response (T) = [0x4f] --> [O] (last segment)
