Message Number;Time [ms];ID;DLC;Data Bytes;CANopen;Node;Index;Subindex;Interpretation
1;144,500;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
2;1153,500;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
3;2162,600;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
4;3171,600;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
5;4180,700;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
6;5189,600;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
7;6198,800;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
8;7207,800;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
9;8216,800;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
10;9225,900;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
11;10234,900;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
12;11243,900;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
13;12253,000;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
14;13262,000;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
15;14271,100;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
16;15280,000;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
17;16289,200;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
18;17298,300;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
19;18307,200;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
20;19316,300;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
21;20325,300;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
22;21334,300;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
23;22343,300;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
24;23352,400;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
25;24361,500;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
26;25370,500;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
27;26379,600;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
28;27388,600;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
29;28397,700;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
30;29406,800;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
31;30415,800;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
32;31424,800;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
33;32433,800;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
34;33442,800;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
35;34451,900;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
36;35460,900;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
37;36470,100;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
38;37479,100;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
39;38488,100;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
40;39497,100;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
41;40506,200;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
42;41515,200;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
43;42524,300;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
44;43533,300;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
45;44542,400;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
46;45551,400;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
47;46560,500;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
48;47569,500;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
49;48578,600;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
50;49587,600;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
51;50596,600;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
52;51605,700;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
53;52614,700;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
54;53623,800;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
55;54632,900;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
56;55641,800;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
57;56650,900;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
58;57659,900;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
59;58668,900;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
60;59100,600;0x070f;1;[0x00];ERR_CTRL;15;-;-;Heartbeat: Boot-Up
61;59678,000;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
62;60687,000;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
63;61696,000;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
64;62705,100;0x0728;1;[0x7f];ERR_CTRL;40;-;-;Heartbeat: Preoperational
